id,category,value,text
1437,books,90.33,scala shuffle reduce row etl lake spark scala reduce warehouse spark warehouse
1438,toys,2.44,metrics lake join elt columnar filter row row scala scala python metrics
1439,electronics,48.24,metrics shuffle python join plan join
1440,toys,5.48,scala plan map data row partition shuffle filter reduce partition
1441,grocery,28.18,data ui map partition shuffle
1442,books,47.28,aggregate map etl row shuffle warehouse shuffle reduce
1443,grocery,85.25,row plan plan spark etl spark columnar reduce join shuffle reduce elt
1444,toys,23.15,scala partition ui lake join
1445,electronics,58.95,etl elt metrics reduce filter columnar
1446,toys,34.98,aggregate row filter spark spark data partition ui scala python python join
1447,grocery,28.24,columnar python ui scala shuffle spark aggregate row reduce reduce metrics
1448,grocery,51.04,etl partition row scala python spark etl scala python data map partition
1449,electronics,28.68,partition warehouse metrics reduce data metrics
1450,books,58.76,metrics metrics partition elt scala warehouse scala spark join reduce partition ui
1451,grocery,39.55,scala aggregate columnar reduce map data aggregate data shuffle join metrics plan
1452,grocery,58.59,ui python elt reduce filter metrics reduce warehouse
1453,grocery,44.13,scala python lake python shuffle plan columnar metrics reduce
1454,electronics,29.84,python shuffle columnar warehouse columnar metrics
1455,grocery,50.75,map partition aggregate etl columnar map columnar partition map scala partition
1456,toys,8.44,ui plan plan shuffle elt partition scala row row python
1457,books,90.75,ui elt etl map aggregate lake
1458,grocery,29.52,row partition map columnar warehouse
1459,toys,36.55,warehouse data map ui filter partition columnar scala
1460,grocery,35.5,map elt plan ui filter warehouse scala
1461,books,54.44,scala ui ui map reduce python scala shuffle join columnar
1462,grocery,72.5,reduce filter filter lake scala spark lake join python
1463,books,93.57,columnar lake data partition plan
1464,grocery,16.44,ui row join metrics join warehouse spark filter lake aggregate reduce partition
1465,electronics,79.4,metrics map map lake shuffle data
1466,toys,28.77,spark spark partition lake python filter row elt reduce join spark
1467,toys,17.29,columnar ui shuffle lake map join plan join lake scala etl python
1468,toys,34.01,filter elt aggregate warehouse plan
1469,books,8.19,filter plan plan join spark shuffle row python
1470,electronics,93.01,aggregate spark reduce partition map ui map ui plan shuffle
1471,books,21.58,lake filter data join row reduce reduce
1472,electronics,18.07,scala shuffle map row partition row data warehouse python filter plan plan
1473,grocery,98.42,partition python filter map metrics
1474,electronics,67.81,python elt python data warehouse scala python filter map elt
1475,books,73.71,plan aggregate lake reduce reduce warehouse warehouse python lake ui ui
1476,toys,72.08,lake row columnar elt shuffle scala metrics scala data lake
1477,grocery,60.5,row join etl elt data scala reduce lake filter warehouse etl
1478,grocery,93.76,partition map spark elt aggregate partition
1479,grocery,74.4,ui warehouse scala shuffle data spark data spark ui etl python
1480,grocery,58.76,lake warehouse row row reduce join lake partition columnar
1481,toys,28.36,elt row warehouse row row metrics plan
1482,electronics,30.71,reduce metrics warehouse data scala map spark join lake map partition
1483,electronics,52.75,python spark ui map scala metrics shuffle plan elt aggregate python
1484,grocery,64.62,data map reduce python python partition partition
1485,books,34.37,metrics partition aggregate partition partition filter ui metrics columnar ui reduce lake
1486,electronics,94.01,spark warehouse metrics spark partition metrics
1487,grocery,84.2,warehouse warehouse aggregate lake reduce elt etl scala ui
1488,grocery,78.18,scala warehouse shuffle data lake lake scala reduce spark
1489,books,7.05,aggregate columnar etl metrics etl partition python warehouse join filter python scala
1490,electronics,20.21,elt scala metrics reduce spark columnar ui row shuffle
1491,toys,79.93,plan join partition spark ui python elt columnar
1492,toys,14.1,warehouse reduce map spark join map scala reduce data python
1493,toys,15.3,spark map shuffle elt ui ui data data warehouse
1494,electronics,85.5,filter spark scala elt columnar lake plan filter
1495,grocery,33.92,partition map map map aggregate python scala ui
1496,books,46.7,aggregate etl lake plan columnar metrics shuffle scala warehouse
1497,electronics,10.41,lake metrics etl join filter map
1498,toys,55.26,shuffle data elt etl filter filter shuffle metrics metrics join shuffle
1499,books,31.26,shuffle partition ui ui elt
